Unnamed: 0,Species,Human Host,Accessions,viral_family
12,Irkut lyssavirus,True,NC_020809.1,0
16,Bokeloh bat lyssavirus,True,NC_025251.1,0
17,Australian bat lyssavirus,True,NC_003243.1,0
18,Khujand lyssavirus,True,NC_025385.1,0
20,Rabies lyssavirus,True,KF155002.1,0
26,Lagos bat lyssavirus,True,NC_020807.1,0
27,Mokola lyssavirus,True,NC_006429.1,0
29,Tai Forest ebolavirus,True,NC_014372.1,27
34,Aravan lyssavirus,True,NC_020808.1,0
36,Nyando orthobunyavirus,True,NC_034492.1  NC_034491.1  NC_034481.1,4
41,Bujaru phlebovirus,False,NC_033830.1  NC_033847.1  NC_033831.1,12
42,European bat 2 lyssavirus,True,NC_009528.2,0
45,Human mastadenovirus D,True,NC_010956.1,9
54,Capim orthobunyavirus,False,NC_034482.1  NC_034493.1  NC_034483.1,4
59,Sudan ebolavirus,True,NC_006432.1,27
60,Bundibugyo ebolavirus,True,NC_014373.1,27
64,Simbu orthobunyavirus,False,NC_018476.1  NC_018478.1  NC_018477.1,4
66,Equine mastadenovirus A,False,NC_030792.1,9
69,Zaire ebolavirus,True,NC_002549.1,27
72,Shuni orthobunyavirus,True,NC_018465.1  NC_018459.1  NC_018460.1,4
74,Human mastadenovirus E,True,NC_003266.2,9
75,European bat 1 lyssavirus,True,NC_009527.1,0
78,Duvenhage lyssavirus,True,NC_020810.1,0
86,Mamastrovirus 6,True,NC_011400.1,24
89,Lloviu cuevavirus,False,NC_016144.1,27
91,Tellina virus,False,NC_038869.1  NC_038870.1,30
97,Reston ebolavirus,True,NC_004161.1,27
98,Human mastadenovirus C,True,AC_000017.1,9
100,Norwalk virus,True,NC_001959.2,26
104,Morreton vesiculovirus,False,NC_034508.1,0
107,Frijoles phlebovirus,False,KX611391.1  KX611392.1  KX611393.1,12
109,Wyeomyia orthobunyavirus,True,NC_034212.1  NC_034213.1  NC_034211.1,4
112,Catu orthobunyavirus,True,KP792660.1  KP792659.1  KP792658.1,4
114,Bimiti orthobunyavirus,False,KP792657.1  KP792656.1  KP792655.1,4
115,Caraparu orthobunyavirus,True,NC_034489.1  NC_034477.1  NC_034478.1,4
117,Salehabad phlebovirus,False,NC_029127.1  NC_029128.1  NC_029129.1,12
123,Influenza A virus,True,CY216614.1  CY216615.1  CY216616.1  CY216617.1  CY216618.1  CY216619.1  CY216620.1  CY216621.1,28
127,Infectious pancreatic necrosis virus,False,NC_001915.1  NC_001916.1,30
129,Bwamba orthobunyavirus,True,NC_034479.1  NC_034490.1  NC_034480.1,4
130,Isfahan vesiculovirus,True,NC_020806.1,0
131,West Caucasian bat lyssavirus,True,NC_025377.1,0
132,Oropouche orthobunyavirus,True,NC_005776.1  NC_005775.1  NC_005777.1,4
134,Human polyomavirus 1,True,NC_001538.1,3
135,Mamastrovirus 1,True,NC_030922.1,24
139,Influenza B virus,True,MH245265.1  MH245264.1  MH245263.1  MH245262.1  MH245261.1  MH245260.1  MH245259.1  MH245258.1,28
140,Ungulate bocaparvovirus 1,False,NC_001540.1,17
145,Simian orthorubulavirus,False,NC_006428.1,10
146,Candiru phlebovirus,True,NC_015374.1  NC_015373.1  NC_015375.1,12
148,Rotavirus F,False,NC_021625.1  NC_021626.1  NC_021631.1  NC_021630.1  NC_021632.1  NC_021635.1  NC_021633.1  NC_021628.1  NC_021627.1  NC_021629.1  NC_021634.1,18
150,Huaiyangshan banyangvirus,True,NC_018136.1  NC_018138.1  NC_018137.1,12
153,Akabane orthobunyavirus,False,NC_009894.1  NC_009895.1  NC_009896.1,4
155,Sandfly fever Naples phlebovirus,True,NC_006319.1  NC_006320.1  NC_006318.1,12
157,Shimoni bat lyssavirus,True,NC_025365.1,0
160,Carnivore amdoparvovirus 1,False,MF285607.1,17
162,Klamath tupavirus,False,NC_034549.1,0
163,Punta Toro phlebovirus,True,NC_027203.1  NC_027201.1  NC_027202.1,12
164,Mamastrovirus 3,False,NC_025379.1,24
167,Guama orthobunyavirus,True,KP792666.1  KP792665.1  KP792664.1,4
168,Rotavirus G,False,NC_021590.1  NC_021580.1  NC_021581.1  NC_021589.1  NC_021583.1  NC_021588.1  NC_021585.1  NC_021584.1  NC_021582.1  NC_021586.1  NC_021587.1,18
169,Piry vesiculovirus,True,KU178986.1,0
171,Taterapox virus,False,NC_008291.1,14
172,Anopheles A orthobunyavirus,True,KY793537.1  KY793538.1  KY793539.1,4
173,California encephalitis orthobunyavirus,True,NC_004108.1  NC_004109.1  NC_004110.1,4
176,Alagoas vesiculovirus,True,NC_025353.1,0
177,Human mastadenovirus A,True,AC_000005.1,9
178,Puumala orthohantavirus,True,NC_005225.1  NC_005223.1  NC_005224.1,19
180,Bos taurus polyomavirus 1,False,NC_001442.1,3
181,Bertioga orthobunyavirus,False,KY013487.1  KY013488.1  KY013489.1,4
182,Ikoma lyssavirus,True,NC_018629.1,0
183,Thogoto thogotovirus,True,NC_006508.1  NC_006495.1  NC_006496.1  NC_006506.1  NC_006507.1  NC_006504.1,28
184,Sosuga pararubulavirus,True,NC_025343.1,10
187,Batama orthobunyavirus,False,NC_038722.1,4
189,Bovine mastadenovirus C,False,AF027599.2,9
194,White bream virus,False,NC_008516.1,29
195,Avian metaavulavirus 5,False,NC_025361.1,10
197,Thimiri orthobunyavirus,False,MH484336.1  MH484337.1  MH484338.1,4
200,Phocine morbillivirus,False,NC_028249.1,10
201,Andes orthohantavirus,True,NC_003468.2  NC_003467.2  NC_003466.1,19
202,Madrid orthobunyavirus,True,NC_034497.1  NC_034505.1  NC_034498.1,4
204,Mesocricetus auratus polyomavirus 1,False,NC_001663.2,3
207,Fusong orthohantavirus,False,NC_038447.1  NC_038446.1,19
208,Betacoronavirus 1,True,NC_006213.1,13
209,Rinderpest morbillivirus,False,NC_006296.2,10
210,Influenza C virus,True,KM504277.1  KM504278.1  KM504279.1  KM504280.1  KM504281.1  KM504282.1  KM504283.1,28
213,Pseudocowpox virus,True,NC_013804.1,14
214,Uukuniemi phlebovirus,True,NC_005214.1  NC_005220.1  NC_005221.1,12
216,Guajara orthobunyavirus,False,NC_038734.1  NC_038733.1  NC_038732.1,4
218,Orf virus,True,NC_005336.1,14
220,Rift Valley fever phlebovirus,True,NC_014397.1  NC_014396.1  NC_014395.1,12
221,Squirrelpox virus,False,NC_022563.1,14
223,Quezon mobatvirus,False,NC_034401.1  NC_034393.1  NC_034400.1,19
225,Parapoxvirus of red deer in New Zealand,False,NC_025963.1,14
226,Maporal orthohantavirus,False,NC_034553.1  NC_034552.1  NC_034566.1,19
227,Koongol orthobunyavirus,False,KP792669.1  KP792668.1  KP792667.1,4
230,Anguillid perhabdovirus,False,NC_022581.1,0
232,Bayou orthohantavirus,True,NC_038299.1  NC_038300.1  NC_038298.1,19
234,Human polyomavirus 2,True,NC_001699.1,3
235,Gamboa orthobunyavirus,False,NC_038729.1  NC_038730.1  NC_038731.1,4
237,Ghanaian bat henipavirus,False,NC_025256.1,10
238,Adeno-associated dependoparvovirus B,True,NC_006152.1,17
239,Alphacoronavirus 1,False,NC_002306.3,13
242,Sin Nombre orthohantavirus,True,NC_005217.1  NC_005215.1  NC_005216.1,19
243,Human coronavirus HKU1,True,NC_006577.2,13
244,Marituba orthobunyavirus,True,NC_034495.1  NC_034504.1  NC_034496.1,4
245,Oriboca orthobunyavirus,True,NC_034475.1  NC_034488.1  NC_034476.1,4
246,Avastrovirus 3,False,NC_005790.1,24
247,Porcine orthorubulavirus,False,NC_009640.1,10
248,Mamastrovirus 8,True,GQ415660.1,24
250,Vesicular exanthema of swine virus,True,NC_002551.1,26
251,Drosophila immigrans sigmavirus,False,NC_038280.1,0
254,Kaeng Khoi orthobunyavirus,False,NC_034499.1  NC_034500.1  NC_034501.1,4
256,Human respirovirus 1,True,NC_003461.1,10
257,Variola virus,True,NC_001611.1,14
260,Ectromelia virus,False,NC_004105.1,14
262,Yunnan orbivirus,False,NC_007656.1  NC_007657.1  NC_007658.1  NC_007659.1  NC_007660.1  NC_007661.1  NC_007662.1  NC_007663.1  NC_007664.1  NC_007665.1,18
264,Thailand orthohantavirus,False,NC_034556.1  NC_034563.1  NC_034555.1,19
268,Mamastrovirus 5,False,KY765684.1,24
271,Ball python nidovirus 1,False,NC_024709.1,29
273,Bunyamwera orthobunyavirus,True,NC_001925.1  NC_001926.1  NC_001927.1,4
274,Rochambeau curiovirus,False,NC_034534.1,0
277,Carnivore protoparvovirus 1,False,NC_001539.1,17
278,Avian paraavulavirus 4,False,NC_019531.1,10
280,Tacaiuma orthobunyavirus,True,MF497779.1  MF497777.1  MF497772.1,4
281,Seoul orthohantavirus,True,NC_005238.1  NC_005237.1  NC_005236.1,19
284,Dhori thogotovirus,False,NC_034261.1  NC_034263.1  NC_034254.1  NC_034255.1  NC_034262.1  NC_034256.1,28
285,Snakehead novirhabdovirus,False,NC_000903.1,0
286,Jurona vesiculovirus,True,NC_025392.1,0
289,Porcine mastadenovirus C,False,NC_002702.1,9
290,Camelpox virus,False,NC_003391.1,14
291,Iriri curiovirus,False,NC_034544.1,0
293,Manzanilla orthobunyavirus,False,NC_024076.1  NC_024074.1  NC_024075.1,4
294,Hedgehog coronavirus 1,False,NC_022643.1,13
295,Teviot pararubulavirus,False,NC_039198.1,10
296,Kadipiro virus,False,NC_004210.1  NC_004212.1  NC_004213.1  NC_004214.1  NC_004215.1  NC_004216.1  NC_004209.1  NC_004208.1  NC_004207.1  NC_004206.1  NC_004205.1  NC_004199.1,18
297,Guaroa orthobunyavirus,True,NC_034487.1  NC_034506.1  NC_034486.1,4
299,Rodent protoparvovirus 1,False,NC_001510.1,17
302,Khabarovsk orthohantavirus,False,NC_034519.1  NC_034518.1  NC_034527.1,19
303,Tylonycteris bat coronavirus HKU4,False,NC_009019.1,13
304,Patois orthobunyavirus,False,NC_043690.1  NC_043691.1  NC_043689.1,4
305,Adeno-associated dependoparvovirus A,True,NC_002077.1,17
307,Bovine respirovirus 3,False,NC_002161.1,10
308,Macaca mulatta polyomavirus 1,True,NC_001669.1,3
310,Porcine mastadenovirus A,False,AC_000189.1,9
314,Canine morbillivirus,True,NC_001921.1,10
315,Bluetongue virus,False,NC_006023.1  NC_006013.2  NC_006014.1  NC_006024.2  NC_006025.1  NC_006010.1  NC_006022.1  NC_006007.1  NC_006008.1  NC_006015.1,18
317,Marburg marburgvirus,True,NC_001608.3,27
318,Cano Delgadito orthohantavirus,False,NC_034515.1  NC_034525.1  NC_034528.1,19
321,Equine encephalosis virus,False,FJ183384.1  FJ183385.1  FJ183386.1  FJ183387.1  FJ183388.1  FJ183389.1  FJ183390.1  FJ183391.1  FJ183392.1  FJ183393.1,18
326,Kairi orthobunyavirus,False,KR260738.1  KR260739.1  KR260740.1,4
328,Bowe orthohantavirus,False,NC_034407.1  NC_034406.1  NC_034405.1,19
331,Kern Canyon ledantevirus,False,NC_034451.1,0
333,Common moorhen coronavirus HKU21,False,NC_016996.1,13
335,Avian metaavulavirus 7,False,NC_025347.1,10
336,Night heron coronavirus HKU19,False,NC_016994.1,13
338,Bovine papular stomatitis virus,True,NC_005337.1,14
340,Nishimuro ledantevirus,False,NC_038276.1,0
341,Tupaia tupavirus,False,NC_007020.1,0
349,Phasi Charoen-like phasivirus,False,NC_038262.1  NC_038261.1  NC_038263.1,12
353,Rabbit hemorrhagic disease virus,False,NC_001543.1,26
354,Rice yellow stunt nucleorhabdovirus,False,NC_003746.1,0
358,Perch perhabdovirus,False,NC_020803.1,0
360,Mink coronavirus 1,False,NC_023760.1,13
361,Yichang insect goukovirus,False,NC_031320.1  NC_031321.1  NC_031322.1,12
364,Jeju orthohantavirus,False,NC_034399.1  NC_034404.1  NC_034398.1,19
366,Bovine atadenovirus D,False,NC_002685.2,9
368,Cowpox virus,True,NC_003663.2,14
369,Rotavirus H,True,NC_007548.1  NC_007549.1  NC_007550.1  NC_007551.1  NC_007552.1  NC_007553.1  NC_007554.1  NC_007555.1  NC_007556.1  NC_007557.1  NC_007558.1,18
370,Ungulate protoparvovirus 1,False,NC_001718.1,17
371,Umatilla virus,False,NC_024503.1  NC_024504.1  NC_024505.1  NC_024506.1  NC_024507.1  NC_024508.1  NC_024509.1  NC_024510.1  NC_024499.1  NC_024500.1,18
373,Rotavirus I,False,NC_026825.2  NC_026826.2  NC_026828.2  NC_026827.2  NC_026820.2  NC_026829.2  NC_026821.2  NC_026822.2  NC_026830.2  NC_026823.2  NC_026824.2,18
375,Fugong orthohantavirus,False,NC_034467.1  NC_034466.1  NC_034473.1,19
376,New Jersey vesiculovirus,True,NC_024473.1,0
377,Itacaiunas curiovirus,False,NC_034536.1,0
378,Avastrovirus 1,False,NC_002470.1,24
380,Corriparta virus,False,KC853042.1  KC853043.1  KC853044.1  KC853045.1  KC853046.1  KC853047.1  KC853048.1  KC853049.1  KC853050.1  KC853051.1,18
382,Alajuela orthobunyavirus,False,NC_038717.1  NC_038715.1  NC_038716.1,4
383,Laibin mobatvirus,False,NC_038515.1  NC_038513.1  NC_038514.1,19
384,American bat vesiculovirus,False,NC_022755.1,0
387,Molluscum contagiosum virus,True,NC_001731.1,14
