Unnamed: 0,Species,Human Host,Accessions,viral_family
5,Rhinovirus B,True,FJ445188.1,2
29,Tai Forest ebolavirus,True,NC_014372.1,27
41,Bujaru phlebovirus,False,NC_033830.1  NC_033847.1  NC_033831.1,12
45,Human mastadenovirus D,True,NC_010956.1,9
59,Sudan ebolavirus,True,NC_006432.1,27
60,Bundibugyo ebolavirus,True,NC_014373.1,27
66,Equine mastadenovirus A,False,NC_030792.1,9
69,Zaire ebolavirus,True,NC_002549.1,27
71,Enterovirus J,False,NC_013695.1,2
74,Human mastadenovirus E,True,NC_003266.2,9
83,Enterovirus C,True,KJ170575.1,2
86,Mamastrovirus 6,True,NC_011400.1,24
87,Rhinovirus C,True,NC_009996.1,2
89,Lloviu cuevavirus,False,NC_016144.1,27
91,Tellina virus,False,NC_038869.1  NC_038870.1,30
97,Reston ebolavirus,True,NC_004161.1,27
98,Human mastadenovirus C,True,AC_000017.1,9
100,Norwalk virus,True,NC_001959.2,26
107,Frijoles phlebovirus,False,KX611391.1  KX611392.1  KX611393.1,12
111,Macacine gammaherpesvirus 4,False,NC_006146.1,7
117,Salehabad phlebovirus,False,NC_029127.1  NC_029128.1  NC_029129.1,12
118,Cercopithecine alphaherpesvirus 9,False,NC_002686.2,7
121,Cosavirus F,True,NC_034385.1,2
123,Influenza A virus,True,CY216614.1  CY216615.1  CY216616.1  CY216617.1  CY216618.1  CY216619.1  CY216620.1  CY216621.1,28
127,Infectious pancreatic necrosis virus,False,NC_001915.1  NC_001916.1,30
128,Human alphaherpesvirus 1,True,NC_001806.2,7
134,Human polyomavirus 1,True,NC_001538.1,3
135,Mamastrovirus 1,True,NC_030922.1,24
137,Cosavirus A,True,NC_012800.1,2
139,Influenza B virus,True,MH245265.1  MH245264.1  MH245263.1  MH245262.1  MH245261.1  MH245260.1  MH245259.1  MH245258.1,28
140,Ungulate bocaparvovirus 1,False,NC_001540.1,17
142,Human gammaherpesvirus 8,True,NC_009333.1,7
146,Candiru phlebovirus,True,NC_015374.1  NC_015373.1  NC_015375.1,12
148,Rotavirus F,False,NC_021625.1  NC_021626.1  NC_021631.1  NC_021630.1  NC_021632.1  NC_021635.1  NC_021633.1  NC_021628.1  NC_021627.1  NC_021629.1  NC_021634.1,18
149,Enterovirus H,False,NC_003988.1,2
150,Huaiyangshan banyangvirus,True,NC_018136.1  NC_018138.1  NC_018137.1,12
151,Tremovirus A,False,NC_003990.1,2
155,Sandfly fever Naples phlebovirus,True,NC_006319.1  NC_006320.1  NC_006318.1,12
159,Enterovirus B,True,AB426609.1,2
160,Carnivore amdoparvovirus 1,False,MF285607.1,17
161,Enterovirus D,True,NC_001430.1,2
163,Punta Toro phlebovirus,True,NC_027203.1  NC_027201.1  NC_027202.1,12
164,Mamastrovirus 3,False,NC_025379.1,24
165,Sapelovirus A,False,NC_003987.1,2
