Unnamed: 0,Species,Human Host,Accessions,viral_family
3,Royal Farm virus,False,NC_006947.1,5
11,Chikungunya virus,True,HM045787.1,21
12,Irkut lyssavirus,True,NC_020809.1,0
14,Israel turkey meningoencephalomyelitis virus,False,KC734551.1,5
15,Ndumu virus,False,NC_016959.1,21
16,Bokeloh bat lyssavirus,True,NC_025251.1,0
17,Australian bat lyssavirus,True,NC_003243.1,0
18,Khujand lyssavirus,True,NC_025385.1,0
19,Koutango virus,True,EU082200.2,5
20,Rabies lyssavirus,True,KF155002.1,0
22,Uganda S virus,False,NC_033698.1,5
25,Mayaro virus,True,NC_003417.1,21
26,Lagos bat lyssavirus,True,NC_020807.1,0
27,Mokola lyssavirus,True,NC_006429.1,0
28,Yaounde virus,False,NC_034018.1,5
29,Tai Forest ebolavirus,True,NC_014372.1,27
30,Aura virus,False,NC_003900.1,21
31,Ilheus virus,True,NC_009028.2,5
33,Tick-borne encephalitis virus,True,NC_001672.1,5
34,Aravan lyssavirus,True,NC_020808.1,0
37,Fort Morgan virus,False,NC_013528.1,21
38,Zika virus,True,NC_012532.1,5
39,Japanese encephalitis virus,True,GQ902058.1,5
41,Bujaru phlebovirus,False,NC_033830.1  NC_033847.1  NC_033831.1,12
42,European bat 2 lyssavirus,True,NC_009528.2,0
47,Tyuleniy virus,False,NC_023424.1,5
48,Entebbe bat virus,False,NC_008718.1,5
49,Getah virus,True,NC_006558.1,21
51,Omsk hemorrhagic fever virus,True,NC_005062.1,5
52,Mosso das Pedras virus,True,AF075257.1,21
53,Saint Louis encephalitis virus,True,NC_007580.2,5
55,Aroa virus,True,NC_009026.2,5
56,Venezuelan equine encephalitis virus,True,KC344449.1,21
57,Ross River virus,True,GQ433354.1,21
58,Murray Valley encephalitis virus,True,NC_000943.1,5
59,Sudan ebolavirus,True,NC_006432.1,27
60,Bundibugyo ebolavirus,True,NC_014373.1,27
61,Sepik virus,True,NC_008719.1,5
63,Onyong-nyong virus,True,NC_001512.1,21
65,Bebaru virus,True,NC_016962.1,21
68,Pixuna virus,True,AF075256.1,21
69,Zaire ebolavirus,True,NC_002549.1,27
70,Tembusu virus,True,NC_015843.2,5
73,Middelburg virus,False,NC_024887.1,21
75,European bat 1 lyssavirus,True,NC_009527.1,0
76,Apoi virus,False,NC_003676.1,5
77,Southern elephant seal virus,False,NC_016960.1,21
78,Duvenhage lyssavirus,True,NC_020810.1,0
79,Cupixi mammarenavirus,False,NC_010252.1  NC_010254.1,15
80,Semliki Forest virus,True,NC_003215.1,21
81,Gadgets Gully virus,False,NC_033723.1,5
82,Highlands J virus,False,NC_012561.1,21
84,Rio Negro virus,False,AF075258.1,21
85,Louping ill virus,True,NC_001809.1,5
86,Mamastrovirus 6,True,NC_011400.1,24
88,Everglades virus,True,AF075251.1,21
89,Lloviu cuevavirus,False,NC_016144.1,27
90,Primate T-lymphotropic virus 1,True,NC_001436.1,16
91,Tellina virus,False,NC_038869.1  NC_038870.1,30
93,Jugra virus,False,NC_033699.1,5
