Unnamed: 0,Species,Human Host,Accessions,viral_family
5,Rhinovirus B,True,FJ445188.1,2
29,Tai Forest ebolavirus,True,NC_014372.1,27
41,Bujaru phlebovirus,False,NC_033830.1  NC_033847.1  NC_033831.1,12
59,Sudan ebolavirus,True,NC_006432.1,27
60,Bundibugyo ebolavirus,True,NC_014373.1,27
67,Bovine orthopneumovirus,False,NC_001989.1,34
69,Zaire ebolavirus,True,NC_002549.1,27
71,Enterovirus J,False,NC_013695.1,2
79,Cupixi mammarenavirus,False,NC_010252.1  NC_010254.1,15
83,Enterovirus C,True,KJ170575.1,2
86,Mamastrovirus 6,True,NC_011400.1,24
87,Rhinovirus C,True,NC_009996.1,2
89,Lloviu cuevavirus,False,NC_016144.1,27
90,Primate T-lymphotropic virus 1,True,NC_001436.1,16
96,Murine orthopneumovirus,False,NC_006579.1,34
97,Reston ebolavirus,True,NC_004161.1,27
99,Human immunodeficiency virus 1,True,NC_001802.1,16
100,Norwalk virus,True,NC_001959.2,26
107,Frijoles phlebovirus,False,KX611391.1  KX611392.1  KX611393.1,12
110,Machupo mammarenavirus,True,NC_005079.1  NC_005078.1,15
111,Macacine gammaherpesvirus 4,False,NC_006146.1,7
113,Mopeia mammarenavirus,False,NC_006574.1  NC_006575.1,15
117,Salehabad phlebovirus,False,NC_029127.1  NC_029128.1  NC_029129.1,12
118,Cercopithecine alphaherpesvirus 9,False,NC_002686.2,7
121,Cosavirus F,True,NC_034385.1,2
123,Influenza A virus,True,CY216614.1  CY216615.1  CY216616.1  CY216617.1  CY216618.1  CY216619.1  CY216620.1  CY216621.1,28
124,Caprine arthritis encephalitis virus,False,NC_001463.1,16
125,Piscihepevirus A,False,NC_015521.1,32
128,Human alphaherpesvirus 1,True,NC_001806.2,7
134,Human polyomavirus 1,True,NC_001538.1,3
135,Mamastrovirus 1,True,NC_030922.1,24
137,Cosavirus A,True,NC_012800.1,2
139,Influenza B virus,True,MH245265.1  MH245264.1  MH245263.1  MH245262.1  MH245261.1  MH245260.1  MH245259.1  MH245258.1,28
142,Human gammaherpesvirus 8,True,NC_009333.1,7
143,Human orthopneumovirus,True,NC_001781.1,34
145,Simian orthorubulavirus,False,NC_006428.1,10
146,Candiru phlebovirus,True,NC_015374.1  NC_015373.1  NC_015375.1,12
147,Ippy mammarenavirus,False,NC_007906.1  NC_007905.1,15
148,Rotavirus F,False,NC_021625.1  NC_021626.1  NC_021631.1  NC_021630.1  NC_021632.1  NC_021635.1  NC_021633.1  NC_021628.1  NC_021627.1  NC_021629.1  NC_021634.1,18
149,Enterovirus H,False,NC_003988.1,2
150,Huaiyangshan banyangvirus,True,NC_018136.1  NC_018138.1  NC_018137.1,12
151,Tremovirus A,False,NC_003990.1,2
154,Human immunodeficiency virus 2,True,NC_001722.1,16
155,Sandfly fever Naples phlebovirus,True,NC_006319.1  NC_006320.1  NC_006318.1,12
158,Argentinian mammarenavirus,True,NC_005080.1  NC_005081.1,15
