Unnamed: 0,Species,Human Host,Accessions,viral_family
0,Alphapapillomavirus 7,True,NC_001357.1,1
1,Alphapapillomavirus 11,True,NC_001587.1,1
2,Alphapapillomavirus 13,True,NC_001676.1,1
4,Alphapapillomavirus 9,True,NC_001526.4,1
6,Alphapapillomavirus 6,True,NC_001593.1,1
7,Alphapapillomavirus 10,True,NC_001355.1,1
8,Alphapapillomavirus 5,True,NC_001583.1,1
9,Betapapillomavirus 3,True,NC_001591.1,1
10,Betapapillomavirus 2,True,NC_001596.1,1
12,Irkut lyssavirus,True,NC_020809.1,0
13,Alphapapillomavirus 8,True,NC_001595.1,1
16,Bokeloh bat lyssavirus,True,NC_025251.1,0
17,Australian bat lyssavirus,True,NC_003243.1,0
18,Khujand lyssavirus,True,NC_025385.1,0
20,Rabies lyssavirus,True,KF155002.1,0
21,Mupapillomavirus 2,True,NC_001458.1,1
23,Betapapillomavirus 1,True,NC_001531.1,1
24,Alphapapillomavirus 14,True,NC_004104.1,1
26,Lagos bat lyssavirus,True,NC_020807.1,0
27,Mokola lyssavirus,True,NC_006429.1,0
29,Tai Forest ebolavirus,True,NC_014372.1,27
32,Betapapillomavirus 4,True,NC_004500.1,1
34,Aravan lyssavirus,True,NC_020808.1,0
35,Betapapillomavirus 5,True,NC_005134.2,1
40,Alphapapillomavirus 4,True,NC_001352.1,1
42,European bat 2 lyssavirus,True,NC_009528.2,0
43,Gammapapillomavirus 1,True,NC_001457.1,1
44,Alphapapillomavirus 2,True,NC_001576.1,1
45,Human mastadenovirus D,True,NC_010956.1,9
46,Alphapapillomavirus 1,True,NC_001586.1,1
50,Alphapapillomavirus 3,True,NC_001694.1,1
59,Sudan ebolavirus,True,NC_006432.1,27
60,Bundibugyo ebolavirus,True,NC_014373.1,27
62,Gammapapillomavirus 4,True,NC_001693.1,1
66,Equine mastadenovirus A,False,NC_030792.1,9
67,Bovine orthopneumovirus,False,NC_001989.1,34
69,Zaire ebolavirus,True,NC_002549.1,27
74,Human mastadenovirus E,True,NC_003266.2,9
75,European bat 1 lyssavirus,True,NC_009527.1,0
78,Duvenhage lyssavirus,True,NC_020810.1,0
79,Cupixi mammarenavirus,False,NC_010252.1  NC_010254.1,15
86,Mamastrovirus 6,True,NC_011400.1,24
89,Lloviu cuevavirus,False,NC_016144.1,27
90,Primate T-lymphotropic virus 1,True,NC_001436.1,16
91,Tellina virus,False,NC_038869.1  NC_038870.1,30
92,Gammapapillomavirus 3,True,NC_001691.1,1
96,Murine orthopneumovirus,False,NC_006579.1,34
97,Reston ebolavirus,True,NC_004161.1,27
98,Human mastadenovirus C,True,AC_000017.1,9
99,Human immunodeficiency virus 1,True,NC_001802.1,16
100,Norwalk virus,True,NC_001959.2,26
101,Mupapillomavirus 1,True,NC_001356.1,1
104,Morreton vesiculovirus,False,NC_034508.1,0
110,Machupo mammarenavirus,True,NC_005079.1  NC_005078.1,15
111,Macacine gammaherpesvirus 4,False,NC_006146.1,7
113,Mopeia mammarenavirus,False,NC_006574.1  NC_006575.1,15
118,Cercopithecine alphaherpesvirus 9,False,NC_002686.2,7
120,Kappapapillomavirus 1,False,NC_002232.1,1
123,Influenza A virus,True,CY216614.1  CY216615.1  CY216616.1  CY216617.1  CY216618.1  CY216619.1  CY216620.1  CY216621.1,28
124,Caprine arthritis encephalitis virus,False,NC_001463.1,16
127,Infectious pancreatic necrosis virus,False,NC_001915.1  NC_001916.1,30
128,Human alphaherpesvirus 1,True,NC_001806.2,7
130,Isfahan vesiculovirus,True,NC_020806.1,0
131,West Caucasian bat lyssavirus,True,NC_025377.1,0
134,Human polyomavirus 1,True,NC_001538.1,3
