Orthologous Cluster ID,Species,ENSEMBL ID,Gene,Expression,log2 Fold Change,FDR
HS8957,Homo sapiens,ENSG00000104964,AES,up_regulated,0.467736,0.00962418
HS8983,Homo sapiens,ENSG00000135709,KIAA0513,up_regulated,1.14604,2.79E-15
HS12858,Homo sapiens,ENSG00000121281,ADCY7,up_regulated,0.771806,4.74E-07
HS6363,Homo sapiens,ENSG00000081803,CADPS2,up_regulated,0.539179,0.0192505
HS8339,Homo sapiens,ENSG00000166289,PLEKHF1,up_regulated,1.31868,5.39E-16
HS11128,Homo sapiens,ENSG00000178695,KCTD12,up_regulated,0.595584,0.00123261
HS2287,Homo sapiens,ENSG00000100902,PSMA6,up_regulated,0.56469,0.0170066
HS13443,Homo sapiens,ENSG00000135074,ADAM19,up_regulated,1.78843,6.86E-29
HS411,Homo sapiens,ENSG00000104320,NBN,up_regulated,1.12401,4.44E-14
HS10006,Homo sapiens,ENSG00000197121,PGAP1,up_regulated,1.01902,2.66E-09
HS10328,Homo sapiens,ENSG00000141441,GAREM1,up_regulated,1.58766,4.99E-13
HS12737,Homo sapiens,ENSG00000138835,RGS3,up_regulated,0.678609,9.49E-07
HS11100,Homo sapiens,ENSG00000100600,LGMN,up_regulated,1.44117,3.57E-25
HS1725,Homo sapiens,ENSG00000020577,SAMD4A,up_regulated,0.666678,3.08E-06
HS11204,Homo sapiens,ENSG00000198561,CTNND1,up_regulated,0.392076,0.00845491
HS11940,Homo sapiens,ENSG00000138166,DUSP5,up_regulated,1.64168,5.18E-14
HS10963,Homo sapiens,ENSG00000180530,NRIP1,up_regulated,0.868867,5.61E-07
HS1849,Homo sapiens,ENSG00000137462,TLR2,up_regulated,2.75332,1.75E-40
HS5887,Homo sapiens,ENSG00000110108,TMEM109,up_regulated,0.471501,0.00299591
HS3182,Homo sapiens,ENSG00000233461,RP11-295G20.2,up_regulated,0.701217,0.0417441
HS13371,Homo sapiens,ENSG00000234127,TRIM26,up_regulated,2.30203,0
HS13170,Homo sapiens,ENSG00000205413,SAMD9,up_regulated,4.80019,0
HS2181,Homo sapiens,ENSG00000138792,ENPEP,up_regulated,1.90197,4.43E-09
HS872,Homo sapiens,ENSG00000185507,IRF7,up_regulated,4.85815,0
HS8654,Homo sapiens,ENSG00000132274,TRIM22,up_regulated,2.97861,0
HS10254,Homo sapiens,ENSG00000146112,PPP1R18,up_regulated,0.622121,2.35E-04
HS5711,Homo sapiens,ENSG00000263934,SNORD3A,up_regulated,1.28143,0.00391786
HS14252,Homo sapiens,ENSG00000144843,ADPRH,up_regulated,0.984561,3.62E-06
HS3293,Homo sapiens,ENSG00000178719,GRINA,up_regulated,0.602397,5.93E-05
HS1955,Homo sapiens,ENSG00000187097,ENTPD5,up_regulated,0.81701,1.51E-06
HS4635,Homo sapiens,ENSG00000177542,SLC25A22,up_regulated,0.637886,8.41E-04
HS9589,Homo sapiens,ENSG00000073331,ALPK1,up_regulated,1.99564,8.72E-32
HS5115,Homo sapiens,ENSG00000117143,UAP1,up_regulated,0.558486,9.73E-04
HS9130,Homo sapiens,ENSG00000132694,ARHGEF11,up_regulated,0.367199,0.0293722
HS3875,Homo sapiens,ENSG00000169245,CXCL10,up_regulated,12.6018,0
HS4136,Homo sapiens,ENSG00000095485,CWF19L1,up_regulated,0.649905,3.94E-04
HS5644,Homo sapiens,ENSG00000261136,RP11-37C7.3,up_regulated,0.650137,0.047658
HS7131,Homo sapiens,ENSG00000270780,RP4-590F24.1,up_regulated,0.90493,0.0347791
HS660,Homo sapiens,ENSG00000163644,PPM1K,up_regulated,4.21145,0
HS468,Homo sapiens,ENSG00000115762,PLEKHB2,up_regulated,0.452044,0.00432567
HS7031,Homo sapiens,ENSG00000143842,SOX13,up_regulated,0.644791,0.00134187
HS7540,Homo sapiens,ENSG00000241026,CTD-2036J7.1,up_regulated,0.910052,0.0033293
HS5622,Homo sapiens,ENSG00000167157,PRRX2,up_regulated,0.478363,0.00418092
HS1829,Homo sapiens,ENSG00000101017,CD40,up_regulated,1.53994,1.93E-18
HS6840,Homo sapiens,ENSG00000023445,BIRC3,up_regulated,1.0722,2.62E-05
HS1482,Homo sapiens,ENSG00000156869,FRRS1,up_regulated,0.964252,6.44E-04
HS12364,Homo sapiens,ENSG00000157827,FMNL2,up_regulated,0.402854,0.0156905
HS13810,Homo sapiens,ENSG00000143382,ADAMTSL4,up_regulated,0.386351,0.0238882
HS4604,Homo sapiens,ENSG00000166016,ABTB2,up_regulated,0.639428,0.00460116
HS7872,Homo sapiens,ENSG00000100505,TRIM9,up_regulated,1.07879,1.00E-05
HS6617,Homo sapiens,ENSG00000080854,IGSF9B,up_regulated,0.801847,0.00888311
HS295,Homo sapiens,ENSG00000230795,HLA-K,up_regulated,1.78726,3.55E-13
HS2671,Homo sapiens,ENSG00000136040,PLXNC1,up_regulated,0.465057,0.0043948
HS5933,Homo sapiens,ENSG00000250133,HOXC-AS2,up_regulated,2.4177,8.36E-38
HS8479,Homo sapiens,ENSG00000123595,RAB9A,up_regulated,0.79026,2.30E-07
HS14649,Homo sapiens,ENSG00000182742,HOXB4,up_regulated,1.11956,8.48E-10
HS14234,Homo sapiens,ENSG00000090776,EFNB1,up_regulated,0.820301,0.00124587
HS11820,Homo sapiens,ENSG00000188157,AGRN,up_regulated,1.3842,5.34E-09
HS13332,Homo sapiens,ENSG00000104325,DECR1,up_regulated,0.580237,2.57E-04
HS579,Homo sapiens,ENSG00000076685,NT5C2,up_regulated,0.369017,0.0231726
HS1051,Homo sapiens,ENSG00000257178,RP11-357H14.16,up_regulated,1.44198,9.92E-06
HS10414,Homo sapiens,ENSG00000197646,PDCD1LG2,up_regulated,1.89804,9.94E-17
HS13937,Homo sapiens,ENSG00000125304,TM9SF2,up_regulated,0.362246,0.0216217
HS2874,Homo sapiens,ENSG00000229657,RP11-494K3.2,up_regulated,0.960097,2.54E-04
HS783,Homo sapiens,ENSG00000116670,MAD2L2,up_regulated,0.886482,3.02E-08
HS3287,Homo sapiens,ENSG00000155367,PPM1J,up_regulated,1.43202,9.32E-07
HS773,Homo sapiens,ENSG00000166444,ST5,up_regulated,0.614595,4.31E-05
HS1280,Homo sapiens,ENSG00000106560,GIMAP2,up_regulated,4.1336,0
HS8241,Homo sapiens,ENSG00000111321,LTBR,up_regulated,0.482669,0.00489163
HS5217,Homo sapiens,ENSG00000119782,FKBP1B,up_regulated,1.03998,4.36E-05
HS353,Homo sapiens,ENSG00000163823,CCR1,up_regulated,1.68512,1.20E-13
HS11839,Homo sapiens,ENSG00000136717,BIN1,up_regulated,0.4412,0.0182771
HS13932,Homo sapiens,ENSG00000104432,IL7,up_regulated,2.33775,2.21E-26
HS6945,Homo sapiens,ENSG00000115525,ST3GAL5,up_regulated,0.704244,1.98E-04
HS1508,Homo sapiens,ENSG00000125841,NRSN2,up_regulated,1.02275,9.02E-12
HS4899,Homo sapiens,ENSG00000271605,MILR1,up_regulated,1.55518,1.36E-06
HS11714,Homo sapiens,ENSG00000155313,USP25,up_regulated,1.02629,4.73E-13
HS9183,Homo sapiens,ENSG00000231672,DIRC3,up_regulated,1.58954,1.69E-05
HS11043,Homo sapiens,ENSG00000216285,RP11-490H24.5,up_regulated,0.805907,0.0100776
HS814,Homo sapiens,ENSG00000107262,BAG1,up_regulated,1.51437,5.24E-24
HS11674,Homo sapiens,ENSG00000080200,CRYBG3,up_regulated,0.540257,0.0320758
HS689,Homo sapiens,ENSG00000118946,PCDH17,up_regulated,5.83893,0
HS12667,Homo sapiens,ENSG00000196639,HRH1,up_regulated,0.523508,0.0274082
HS10751,Homo sapiens,ENSG00000100292,HMOX1,up_regulated,0.625283,1.28E-04
HS9139,Homo sapiens,ENSG00000008294,SPAG9,up_regulated,0.385309,0.00826353
HS11416,Homo sapiens,ENSG00000120549,KIAA1217,up_regulated,2.05568,0.00136759
HS12007,Homo sapiens,ENSG00000203797,DDO,up_regulated,2.56449,4.32E-23
