Unnamed: 0,Species,Human Host,Accessions,viral_family
0,Alphapapillomavirus 7,True,NC_001357.1,1
1,Alphapapillomavirus 11,True,NC_001587.1,1
2,Alphapapillomavirus 13,True,NC_001676.1,1
4,Alphapapillomavirus 9,True,NC_001526.4,1
5,Rhinovirus B,True,FJ445188.1,2
6,Alphapapillomavirus 6,True,NC_001593.1,1
7,Alphapapillomavirus 10,True,NC_001355.1,1
8,Alphapapillomavirus 5,True,NC_001583.1,1
9,Betapapillomavirus 3,True,NC_001591.1,1
10,Betapapillomavirus 2,True,NC_001596.1,1
11,Chikungunya virus,True,HM045787.1,21
12,Irkut lyssavirus,True,NC_020809.1,0
13,Alphapapillomavirus 8,True,NC_001595.1,1
15,Ndumu virus,False,NC_016959.1,21
16,Bokeloh bat lyssavirus,True,NC_025251.1,0
17,Australian bat lyssavirus,True,NC_003243.1,0
18,Khujand lyssavirus,True,NC_025385.1,0
20,Rabies lyssavirus,True,KF155002.1,0
21,Mupapillomavirus 2,True,NC_001458.1,1
23,Betapapillomavirus 1,True,NC_001531.1,1
24,Alphapapillomavirus 14,True,NC_004104.1,1
25,Mayaro virus,True,NC_003417.1,21
26,Lagos bat lyssavirus,True,NC_020807.1,0
27,Mokola lyssavirus,True,NC_006429.1,0
29,Tai Forest ebolavirus,True,NC_014372.1,27
30,Aura virus,False,NC_003900.1,21
32,Betapapillomavirus 4,True,NC_004500.1,1
34,Aravan lyssavirus,True,NC_020808.1,0
35,Betapapillomavirus 5,True,NC_005134.2,1
36,Nyando orthobunyavirus,True,NC_034492.1  NC_034491.1  NC_034481.1,4
37,Fort Morgan virus,False,NC_013528.1,21
40,Alphapapillomavirus 4,True,NC_001352.1,1
42,European bat 2 lyssavirus,True,NC_009528.2,0
43,Gammapapillomavirus 1,True,NC_001457.1,1
44,Alphapapillomavirus 2,True,NC_001576.1,1
45,Human mastadenovirus D,True,NC_010956.1,9
46,Alphapapillomavirus 1,True,NC_001586.1,1
49,Getah virus,True,NC_006558.1,21
50,Alphapapillomavirus 3,True,NC_001694.1,1
52,Mosso das Pedras virus,True,AF075257.1,21
54,Capim orthobunyavirus,False,NC_034482.1  NC_034493.1  NC_034483.1,4
56,Venezuelan equine encephalitis virus,True,KC344449.1,21
57,Ross River virus,True,GQ433354.1,21
59,Sudan ebolavirus,True,NC_006432.1,27
60,Bundibugyo ebolavirus,True,NC_014373.1,27
62,Gammapapillomavirus 4,True,NC_001693.1,1
63,Onyong-nyong virus,True,NC_001512.1,21
64,Simbu orthobunyavirus,False,NC_018476.1  NC_018478.1  NC_018477.1,4
65,Bebaru virus,True,NC_016962.1,21
66,Equine mastadenovirus A,False,NC_030792.1,9
67,Bovine orthopneumovirus,False,NC_001989.1,34
68,Pixuna virus,True,AF075256.1,21
69,Zaire ebolavirus,True,NC_002549.1,27
71,Enterovirus J,False,NC_013695.1,2
72,Shuni orthobunyavirus,True,NC_018465.1  NC_018459.1  NC_018460.1,4
73,Middelburg virus,False,NC_024887.1,21
74,Human mastadenovirus E,True,NC_003266.2,9
75,European bat 1 lyssavirus,True,NC_009527.1,0
77,Southern elephant seal virus,False,NC_016960.1,21
78,Duvenhage lyssavirus,True,NC_020810.1,0
80,Semliki Forest virus,True,NC_003215.1,21
82,Highlands J virus,False,NC_012561.1,21
83,Enterovirus C,True,KJ170575.1,2
84,Rio Negro virus,False,AF075258.1,21
86,Mamastrovirus 6,True,NC_011400.1,24
87,Rhinovirus C,True,NC_009996.1,2
88,Everglades virus,True,AF075251.1,21
89,Lloviu cuevavirus,False,NC_016144.1,27
92,Gammapapillomavirus 3,True,NC_001691.1,1
95,Madariaga virus,True,NC_023812.1,21
