Unnamed: 0,Species,Human Host,Accessions,viral_family
0,Alphapapillomavirus 7,True,NC_001357.1,1
1,Alphapapillomavirus 11,True,NC_001587.1,1
2,Alphapapillomavirus 13,True,NC_001676.1,1
3,Royal Farm virus,False,NC_006947.1,5
4,Alphapapillomavirus 9,True,NC_001526.4,1
5,Rhinovirus B,True,FJ445188.1,2
6,Alphapapillomavirus 6,True,NC_001593.1,1
7,Alphapapillomavirus 10,True,NC_001355.1,1
8,Alphapapillomavirus 5,True,NC_001583.1,1
9,Betapapillomavirus 3,True,NC_001591.1,1
10,Betapapillomavirus 2,True,NC_001596.1,1
12,Irkut lyssavirus,True,NC_020809.1,0
13,Alphapapillomavirus 8,True,NC_001595.1,1
14,Israel turkey meningoencephalomyelitis virus,False,KC734551.1,5
16,Bokeloh bat lyssavirus,True,NC_025251.1,0
17,Australian bat lyssavirus,True,NC_003243.1,0
18,Khujand lyssavirus,True,NC_025385.1,0
19,Koutango virus,True,EU082200.2,5
20,Rabies lyssavirus,True,KF155002.1,0
21,Mupapillomavirus 2,True,NC_001458.1,1
22,Uganda S virus,False,NC_033698.1,5
23,Betapapillomavirus 1,True,NC_001531.1,1
24,Alphapapillomavirus 14,True,NC_004104.1,1
26,Lagos bat lyssavirus,True,NC_020807.1,0
27,Mokola lyssavirus,True,NC_006429.1,0
28,Yaounde virus,False,NC_034018.1,5
29,Tai Forest ebolavirus,True,NC_014372.1,27
31,Ilheus virus,True,NC_009028.2,5
32,Betapapillomavirus 4,True,NC_004500.1,1
33,Tick-borne encephalitis virus,True,NC_001672.1,5
34,Aravan lyssavirus,True,NC_020808.1,0
35,Betapapillomavirus 5,True,NC_005134.2,1
36,Nyando orthobunyavirus,True,NC_034492.1  NC_034491.1  NC_034481.1,4
38,Zika virus,True,NC_012532.1,5
39,Japanese encephalitis virus,True,GQ902058.1,5
40,Alphapapillomavirus 4,True,NC_001352.1,1
42,European bat 2 lyssavirus,True,NC_009528.2,0
43,Gammapapillomavirus 1,True,NC_001457.1,1
44,Alphapapillomavirus 2,True,NC_001576.1,1
46,Alphapapillomavirus 1,True,NC_001586.1,1
47,Tyuleniy virus,False,NC_023424.1,5
48,Entebbe bat virus,False,NC_008718.1,5
50,Alphapapillomavirus 3,True,NC_001694.1,1
51,Omsk hemorrhagic fever virus,True,NC_005062.1,5
53,Saint Louis encephalitis virus,True,NC_007580.2,5
54,Capim orthobunyavirus,False,NC_034482.1  NC_034493.1  NC_034483.1,4
55,Aroa virus,True,NC_009026.2,5
58,Murray Valley encephalitis virus,True,NC_000943.1,5
59,Sudan ebolavirus,True,NC_006432.1,27
60,Bundibugyo ebolavirus,True,NC_014373.1,27
61,Sepik virus,True,NC_008719.1,5
62,Gammapapillomavirus 4,True,NC_001693.1,1
64,Simbu orthobunyavirus,False,NC_018476.1  NC_018478.1  NC_018477.1,4
69,Zaire ebolavirus,True,NC_002549.1,27
70,Tembusu virus,True,NC_015843.2,5
71,Enterovirus J,False,NC_013695.1,2
72,Shuni orthobunyavirus,True,NC_018465.1  NC_018459.1  NC_018460.1,4
75,European bat 1 lyssavirus,True,NC_009527.1,0
76,Apoi virus,False,NC_003676.1,5
78,Duvenhage lyssavirus,True,NC_020810.1,0
79,Cupixi mammarenavirus,False,NC_010252.1  NC_010254.1,15
81,Gadgets Gully virus,False,NC_033723.1,5
83,Enterovirus C,True,KJ170575.1,2
85,Louping ill virus,True,NC_001809.1,5
87,Rhinovirus C,True,NC_009996.1,2
89,Lloviu cuevavirus,False,NC_016144.1,27
90,Primate T-lymphotropic virus 1,True,NC_001436.1,16
91,Tellina virus,False,NC_038869.1  NC_038870.1,30
